k,yx,yy,Sx,Sy,NIS,q,r
330,-2.969039,-2.720551,4.080965,4.080965,3.973714,1.000000,4.000000
331,0.694178,3.122541,4.080959,4.080959,2.507288,1.000000,4.000000
332,3.189080,-0.502152,4.080954,4.080954,2.553910,1.000000,4.000000
333,0.343923,-1.453004,4.080948,4.080948,0.546320,1.000000,4.000000
334,-0.194181,0.506993,4.080943,4.080943,0.072226,1.000000,4.000000
335,-2.731825,-2.828992,4.080939,4.080939,3.789831,1.000000,4.000000
336,0.809222,-1.004888,4.080934,4.080934,0.407906,1.000000,4.000000
337,-3.603873,0.375741,4.080930,4.080930,3.217178,1.000000,4.000000
338,-0.893804,-1.932411,4.080926,4.080926,1.110801,1.000000,4.000000
339,-1.952523,0.850307,4.080922,4.080922,1.111359,1.000000,4.000000
340,2.633257,-0.900456,4.080918,4.080918,1.897824,1.000000,4.000000
341,0.620695,0.016216,4.080915,4.080915,0.094470,1.000000,4.000000
342,2.469060,-0.700260,4.080912,4.080912,1.614008,1.000000,4.000000
343,-1.155461,-3.000531,4.080908,4.080908,2.533328,1.000000,4.000000
344,-2.083775,-1.010660,4.080905,4.080905,1.314304,1.000000,4.000000
345,1.082860,-1.194835,4.080903,4.080903,0.637167,1.000000,4.000000
346,-0.604227,-0.083518,4.080900,4.080900,0.091173,1.000000,4.000000
347,0.525357,-2.143029,4.080898,4.080898,1.193016,1.000000,4.000000
348,-0.147101,-3.079630,4.080895,4.080895,2.329332,1.000000,4.000000
349,-4.133114,1.822080,4.080893,4.080893,4.999544,1.000000,4.000000
350,1.248345,-1.987321,4.080891,4.080891,1.349659,1.000000,4.000000
351,0.694687,-0.511899,4.080889,4.080889,0.182468,1.000000,4.000000
352,1.871811,2.377476,4.080887,4.080887,2.243646,1.000000,4.000000
353,-1.041415,2.891961,4.080886,4.080886,2.315179,1.000000,4.000000
354,-0.117294,-0.126450,4.080884,4.080884,0.007290,1.000000,4.000000
355,-0.393640,-0.751228,4.080883,4.080883,0.176260,1.000000,4.000000
356,0.485953,2.538469,4.080881,4.080881,1.636895,1.000000,4.000000
357,0.778577,-2.482117,4.080880,4.080880,1.658242,1.000000,4.000000
358,-4.114637,2.112901,4.080879,4.080879,5.242642,1.000000,4.000000
359,-1.676883,3.716254,4.080878,4.080878,4.073261,1.000000,4.000000
360,-0.129735,-1.911029,4.080877,4.080877,0.899038,1.000000,4.000000
361,1.364334,3.234066,4.080876,4.080876,3.019104,1.000000,4.000000
362,-2.829049,1.735782,4.080875,4.080875,2.699533,1.000000,4.000000
363,3.106031,1.092580,4.080874,4.080874,2.656578,1.000000,4.000000
364,2.245544,-0.298330,4.080874,4.080874,1.257443,1.000000,4.000000
365,-1.260759,1.587811,4.080873,4.080873,1.007298,1.000000,4.000000
366,-1.869988,0.735887,4.080872,4.080872,0.989589,1.000000,4.000000
367,0.747977,0.651621,4.080872,4.080872,0.241144,1.000000,4.000000
368,0.588753,1.309078,4.080871,4.080871,0.504872,1.000000,4.000000
369,0.402114,-2.311783,4.080871,4.080871,1.349230,1.000000,4.000000
370,-0.134365,0.178236,4.080871,4.080871,0.012209,1.000000,4.000000
371,0.725731,2.579177,4.080870,4.080870,1.759145,1.000000,4.000000
372,-1.248076,-1.876714,4.080870,4.080870,1.244771,1.000000,4.000000
373,-1.814207,0.594867,4.080870,4.080870,0.893245,1.000000,4.000000
374,1.784196,0.901894,4.080869,4.080869,0.979391,1.000000,4.000000
375,-0.514288,-4.026107,4.080869,4.080869,4.036892,1.000000,4.000000
376,2.184222,0.569372,4.080869,4.080869,1.248511,1.000000,4.000000
377,-3.413474,2.019458,4.080869,4.080869,3.854576,1.000000,4.000000
378,0.464392,1.237940,4.080869,4.080869,0.428378,1.000000,4.000000
379,4.709966,-2.966767,4.080868,4.080868,7.592865,1.000000,4.000000
380,0.406970,2.412666,4.080868,4.080868,1.466987,1.000000,4.000000
381,1.609923,-2.350730,4.080868,4.080868,1.989229,1.000000,4.000000
382,0.722588,-3.857625,4.080868,4.080868,3.774540,1.000000,4.000000
383,0.138123,-0.243472,4.080868,4.080868,0.019201,1.000000,4.000000
384,-1.728648,-0.392420,4.080868,4.080868,0.769987,1.000000,4.000000
385,-1.051351,1.815450,4.080868,4.080868,1.078495,1.000000,4.000000
386,1.314683,-1.976351,4.080868,4.080868,1.380676,1.000000,4.000000
387,-0.681690,-4.204177,4.080868,4.080868,4.445086,1.000000,4.000000
388,0.176474,0.176441,4.080868,4.080868,0.015260,1.000000,4.000000
389,-0.972430,1.604958,4.080868,4.080868,0.862932,1.000000,4.000000
390,-1.924403,1.485545,4.080868,4.080868,1.448263,1.000000,4.000000
391,-0.084553,-1.812067,4.080868,4.080868,0.806381,1.000000,4.000000
392,1.091446,0.160412,4.080868,4.080868,0.298218,1.000000,4.000000
393,-0.411549,-1.502847,4.080868,4.080868,0.594952,1.000000,4.000000
394,0.367493,-3.394872,4.080868,4.080868,2.857285,1.000000,4.000000
395,-1.144453,3.133510,4.080868,4.080868,2.727032,1.000000,4.000000
396,-1.414395,-4.219528,4.080868,4.080868,4.853118,1.000000,4.000000
397,-4.053543,-0.060969,4.080868,4.080868,4.027312,1.000000,4.000000
398,0.047122,-1.842084,4.080868,4.080868,0.832052,1.000000,4.000000
