k,zx,zy,valid
466,-49.665223,-78.332601,1
467,8.998409,2.595134,1
468,6.064345,4.493175,1
469,78.648677,-42.436481,1
470,-38.573922,-27.164111,1
471,10.757927,2.310713,1
472,7.819465,6.080906,1
473,8.295813,3.239880,1
474,9.825226,-0.044121,1
475,11.116279,7.129151,1
476,8.693188,5.646483,1
477,0.000000,0.000000,0
478,6.274366,5.989008,1
479,8.887926,0.684702,1
480,9.592307,3.801743,1
481,57.458101,-34.618686,1
482,0.000000,0.000000,0
483,10.522753,6.111979,1
484,9.209668,7.917555,1
485,10.358595,2.640886,1
486,-16.988461,-61.130959,1
487,10.734222,6.049122,1
488,8.861971,3.992501,1
489,11.573916,2.609266,1
490,11.788776,5.926635,1
491,10.179693,0.693919,1
492,-24.187309,69.646125,1
493,-70.463266,-74.963401,1
494,41.666868,62.596104,1
495,12.531460,7.614350,1
496,8.652626,4.244581,1
497,79.061633,56.258764,1
498,0.000000,0.000000,0
499,11.596567,6.569325,1
500,9.981705,4.654968,1
501,36.179747,-68.981553,1
502,-2.166162,38.125727,1
503,10.138133,19.218978,1
504,12.132729,9.319481,1
505,46.041728,73.859012,1
506,10.172788,10.387940,1
507,9.325845,7.112441,1
508,0.000000,0.000000,0
509,11.061733,3.486816,1
510,-36.861944,-72.166901,1
511,73.357291,36.128035,1
512,11.868391,5.450127,1
513,10.808007,7.529447,1
514,-66.997331,73.316482,1
515,14.164769,21.126295,1
516,48.224667,-38.960633,1
517,0.000000,0.000000,0
518,6.920300,4.013220,1
519,12.815428,5.667482,1
520,0.000000,0.000000,0
521,0.000000,0.000000,0
522,11.408363,3.177212,1
523,0.000000,0.000000,0
524,0.000000,0.000000,0
525,10.082497,7.473361,1
526,7.911216,6.379202,1
527,0.000000,0.000000,0
528,10.534690,3.462249,1
529,9.269922,4.588748,1
530,13.167616,4.079993,1
531,7.408815,6.299183,1
532,7.711728,3.733682,1
533,0.000000,0.000000,0
534,13.268521,6.761035,1
535,11.801689,5.652441,1
536,13.168017,2.630371,1
537,6.663038,5.189136,1
538,11.418022,6.156409,1
539,10.303291,5.705082,1
540,-23.479117,-20.602674,1
541,12.967759,2.240520,1
542,10.730444,7.406281,1
543,68.267546,5.168284,1
544,10.182089,6.636390,1
545,8.798789,6.198380,1
546,9.208569,6.135751,1
547,11.694320,2.588082,1
548,16.150739,9.400091,1
549,11.827982,7.709793,1
550,9.770356,2.881074,1
551,10.471739,6.322963,1
552,-64.589485,34.832129,1
553,13.821034,3.028756,1
554,9.625107,7.304618,1
555,0.000000,0.000000,0
